cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1957,Medium,24318.24622,32183.47243,87218.2816,26802.74782,6146.57294,1632.282968,292.5065786,278.4932946,145.33542
1957,High,15308.22506,14426.40917,28759.40873,7579.391052,1240.139786,236.9037486,115.4288341,118.3205262,14.15263831
1958,Low,8157.217761,8341.485098,28726.93473,13581.95619,5234.813274,1448.215088,570.1971304,759.3581189,132.2905594
1958,Medium,23562.57671,34944.68387,88622.95653,25868.63123,5543.441948,1595.428959,632.0766186,234.3415752,88.10674998
1958,High,16059.31586,14536.8273,30080.75769,7970.051376,1394.757923,219.7324931,59.25276197,53.7534872,38.05116083
1959,Low,8019.821044,7724.688677,27409.38816,13370.61877,4416.882846,1576.403369,849.4313006,306.6081683,172.309439
1959,Medium,23791.61293,36280.29612,91107.21922,26480.16378,5144.793972,1454.749684,681.2951209,128.7798457,74.0531602
1959,High,18716.71012,16581.34908,32855.62909,8054.54126,1309.666347,333.0083564,64.57599245,38.76914591,9.473992934
1960,Low,7880.552772,7769.011294,26423.23938,11298.82059,4053.2349,1469.735092,1079.35034,451.8554819,184.2715889
1960,Medium,26765.72607,38868.65046,93354.74095,24788.10952,4913.730503,995.1764604,289.5072771,141.0380963,108.640125
1960,High,19618.36693,18073.42112,34794.90685,8310.636861,1469.228112,232.8555202,35.3330485,34.96960896,76.2658385
1961,Low,8095.704761,7419.462654,25809.64167,10275.52483,3843.274922,1443.248773,421.9701241,347.6728733,340.1106694
1961,Medium,26584.91017,39223.3711,93463.26754,22980.92216,4328.521811,1147.372953,329.673523,159.4867628,120.4652433
1961,High,21218.00266,18662.12203,35824.235,7561.141383,1309.722458,212.3676423,132.189148,11.45606285,56.76594531
1962,Low,8014.20487,8139.738379,24710.16114,10246.23126,3241.054893,1703.416701,1056.005284,311.0052481,99.67853081
1962,Medium,28628.98142,44418.76709,97653.10212,21926.37742,4245.59086,1054.655225,260.7624591,105.5598055,78.43228688
1962,High,23278.70821,20356.99385,38059.89094,8490.398715,1461.229859,431.9085403,53.32396129,90.82950381,21.36022679
1963,Low,7927.438062,8684.563644,22665.04939,9269.477779,3038.971633,1175.276595,620.601287,185.9263995,75.79649859
1963,Medium,29994.69421,43869.59775,97163.49179,22343.23477,4430.63858,1223.889375,279.9850455,120.6299878,80.52120199
1963,High,24800.11426,23234.86802,41925.39312,9368.028853,1200.415645,257.3059703,94.41464413,51.49093559,22.63442121
1964,Low,8176.508172,8031.802303,22818.58677,8902.543481,3249.336996,1200.902925,507.8975735,165.6742642,177.322419
1964,Medium,31549.12283,46582.26411,100362.9161,21244.60999,3621.508191,1098.687371,451.212676,137.7296619,65.96528933
1964,High,27628.77121,25528.84267,45648.1819,9182.709144,1442.924713,395.2668351,87.13415511,55.52128893,0
1965,Low,8019.851116,7170.549357,21444.77726,7498.638633,3057.633794,1713.723344,293.1154592,188.2218902,114.969206
1965,Medium,32491.11823,45390.32945,97077.93635,19582.12778,3443.337486,1055.36245,264.3816026,222.1408953,81.91213657
1965,High,29144.56098,25128.08937,48254.46832,8561.607356,1313.559606,270.8956425,82.67367538,88.81611318,28.28816165
1966,Low,7838.779056,7435.140266,19297.07782,6634.240647,2527.043622,1090.359211,637.9348886,386.7436658,165.7397394
1966,Medium,31823.08759,45025.10773,95859.17219,18175.52209,3533.746537,958.9494945,253.5185956,184.1440332,80.27295164
1966,High,29908.24279,26223.61433,47070.09537,9278.041491,1117.574596,232.9797469,67.34588115,62.36406388,71.0733098
1967,Low,7574.895541,7393.160159,19790.84254,7398.503793,2256.688691,1210.59903,335.2366071,235.5697893,103.615493
1967,Medium,35577.59556,49927.56714,98300.97192,18722.14834,2429.972122,865.6177071,280.9903219,254.3487688,117.6774102
1967,High,32418.62775,30650.37787,53396.55762,10229.42422,1183.514587,588.1309929,69.05917365,82.55708683,14.89370456
1968,Low,7677.169051,7135.435258,16816.42771,6436.691333,2851.093146,752.925581,438.3420481,93.31498592,200.4517452
1968,Medium,35475.32167,47201.59014,92090.6529,16567.06152,3631.930931,758.737998,282.8077425,107.5898747,50.21584763
1968,High,33936.87904,30542.5505,54245.2273,10156.36487,1104.091464,337.9005841,62.18025062,39.75566408,35.53671086
1969,Low,7742.611805,6743.873204,16657.81012,6066.741108,2981.192252,1081.506445,302.9426792,206.839276,75.36983662
1969,Medium,33804.615,49319.22494,89100.67762,17225.25958,2960.014638,849.955905,201.898418,172.0948644,22.63421148
1969,High,36740.12307,32501.06413,56936.25539,11253.77675,1049.064345,234.1915403,37.30475099,31.93249874,51.72076018
1970,Low,7752.740662,6278.929557,14432.74441,5500.396724,2287.959533,1111.379903,444.1051036,173.1497255,61.03909378
1970,Medium,35942.04508,49290.04185,87613.16084,15984.56672,2569.595156,503.8394835,253.1039614,151.1943661,82.97525135
1970,High,41754.81479,34584.42147,56337.58167,10643.67846,1428.182788,287.0912002,60.51563002,65.19189674,40.57526952
